index,市区町村コード,住所,種類,面積（㎡）,築年数,最寄駅：距離（分）,取引価格（総額）,divergence,ratio,signed_pct,direction,band,quantile_median,empirical_median,has_overlap,n_used,flag
39655,13303,東京都西多摩郡瑞穂町大字箱根ケ崎,中古マンション等,50,32.0,7.0,6600000,2.81034787000889,3.81034787000889,281.03478700088897,高値,重度,16003461.054037338,4200000.0,False,3,要人手査定
38640,13222,東京都東久留米市浅間町,中古マンション等,55,43.0,7.0,24000000,1.784256911371193,2.7842569113711932,178.42569113711932,高値,重度,21577991.063126747,7750000.0,True,30,要人手査定
11169,13108,東京都江東区豊洲,中古マンション等,185,17.0,5.0,450000000,1.7303160101929134,2.7303160101929134,173.03160101929134,高値,重度,450502141.6818307,165000000.0,True,30,要人手査定
4479,13103,東京都港区南青山,中古マンション等,95,20.0,10.0,420000000,1.6050820259417988,2.605082025941799,160.5082025941799,高値,重度,403787714.0209788,155000000.0,True,30,要人手査定
535,13101,東京都千代田区四番町,中古マンション等,260,19.0,3.0,1400000000,1.5675723828424422,2.5675723828424424,156.7572382842442,高値,重度,885812472.0806426,345000000.0,True,30,要人手査定
31079,13121,東京都足立区綾瀬,中古マンション等,30,38.0,2.0,21000000,1.5670518446806327,2.5670518446806327,156.70518446806327,高値,重度,20279709.572977,7900000.0,True,30,要人手査定
38781,13223,東京都武蔵村山市伊奈平,中古マンション等,90,18.0,5.0,22000000,1.564151682202507,2.5641516822025068,156.4151682202507,高値,重度,27692838.167787075,10800000.0,False,18,要人手査定
15827,13110,東京都目黒区目黒,中古マンション等,145,6.0,6.0,640000000,1.435542374494965,2.4355423744949647,143.5542374494965,高値,重度,462753051.1540433,190000000.0,True,30,要人手査定
36981,13209,東京都町田市成瀬,中古マンション等,140,35.0,13.0,53000000,1.428585337362348,2.4285853373623483,142.85853373623482,高値,重度,55857462.759334005,23000000.0,True,30,要人手査定
401,13101,東京都千代田区神田淡路町,中古マンション等,35,23.0,1.0,54000000,1.4148297126679037,2.4148297126679035,141.48297126679037,高値,重度,83311625.08704267,34500000.0,True,30,要人手査定
14332,13109,東京都品川区上大崎,中古マンション等,65,19.0,1.0,200000000,1.412340705924386,2.412340705924386,141.2340705924386,高値,重度,177307041.88544238,73500000.0,True,30,要人手査定
14328,13109,東京都品川区上大崎,中古マンション等,55,19.0,1.0,200000000,1.4072506987728428,2.407250698772843,140.72506987728428,高値,重度,166100298.21532616,69000000.0,True,30,要人手査定
38700,13222,東京都東久留米市南沢,中古マンション等,110,23.0,5.0,49000000,1.3900706535262797,2.3900706535262795,139.00706535262796,高値,重度,48996448.39728873,20500000.0,True,30,要人手査定
